stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
500462,"120 AV/192 ST",,  40.687925, -73.756966,,,0,
500464,"120 AV/196 ST",,  40.689115, -73.753716,,,0,
500465,"120 AV/198 ST",,  40.689702, -73.752091,,,0,
500467,"120 AV/NASHVILLE BLVD",,  40.691325, -73.747553,,,0,
500468,"120 AV/SPRINGFIELD BLVD",,  40.691077, -73.745833,,,0,
500470,"120 AV/FRANCIS LEWIS BLVD",,  40.689935, -73.742077,,,0,
500472,"120 AV/224 ST",,  40.688950, -73.738810,,,0,
500473,"120 AV/226 ST",,  40.688428, -73.737096,,,0,
500475,"120 AV/230 ST",,  40.687377, -73.733591,,,0,
500476,"120 AV/232 ST",,  40.686843, -73.731845,,,0,
500478,"120 AV/237 ST",,  40.685548, -73.727552,,,0,
500479,"238 ST/121 AV",,  40.683463, -73.728080,,,0,
500480,"238 ST/128 AV",,  40.681657, -73.728895,,,0,
500483,"237 ST/128 AV",,  40.682399, -73.729433,,,0,
500484,"237 ST/121 AV",,  40.684373, -73.728502,,,0,
500485,"120 AV/237 ST",,  40.685887, -73.728174,,,0,
500486,"120 AV/234 ST",,  40.686698, -73.730818,,,0,
500487,"120 AV/231 ST",,  40.687494, -73.733483,,,0,
500489,"120 AV/227 ST",,  40.688374, -73.736457,,,0,
500490,"120 AV/224 ST",,  40.689323, -73.739519,,,0,
500491,"120 AV/222 ST",,  40.689864, -73.741295,,,0,
500492,"120 AV/FRANCIS LEWIS BLVD",,  40.690523, -73.743495,,,0,
500494,"120 AV/SPRINGFIELD BLVD",,  40.691437, -73.746655,,,0,
500495,"120 AV/202 ST",,  40.691132, -73.748541,,,0,
500497,"120 AV/199 ST",,  40.689942, -73.751715,,,0,
500499,"120 AV/195 ST",,  40.688753, -73.754998,,,0,
500500,"120 AV/193 ST",,  40.688120, -73.756723,,,0,
500501,"120 AV/190 ST",,  40.687197, -73.759236,,,0,
500502,"120 AV/FARMERS BLVD",,  40.686542, -73.761038,,,0,
500504,"120 AV/178 ST",,  40.685294, -73.765963,,,0,
500505,"120 AV/177 ST",,  40.684827, -73.767762,,,0,
500507,"MERRICK BLVD/BAISLEY BLVD",,  40.684112, -73.770144,,,0,
500508,"MERRICK BLVD/VICTORIA RD",,  40.685550, -73.772587,,,0,
500509,"MERRICK BLVD/FOCH BLVD",,  40.687317, -73.775083,,,0,
500510,"MERRICK BLVD/116 AV",,  40.688638, -73.776720,,,0,
500512,"MERRICK BLVD/LINDEN BLVD",,  40.691579, -73.778985,,,0,
500541,"MERRICK BLVD/119 AV",,  40.685787, -73.773336,,,0,
500543,"MERRICK BLVD/BAISLEY BLVD",,  40.683763, -73.770010,,,0,
500545,"MERRICK BLVD/127 AV",,  40.681289, -73.765145,,,0,
500547,"MERRICK BLVD/130 RD",,  40.679839, -73.762086,,,0,
500549,"MERRICK BLVD/MONTAUK ST",,  40.679450, -73.757129,,,0,
500551,"MERRICK BLVD/SPRINGFIELD BLVD",,  40.680034, -73.753683,,,0,
500552,"MERRICK BLVD/218 ST",,  40.679505, -73.751159,,,0,
500555,"MERRICK BLVD/224 ST",,  40.677656, -73.745272,,,0,
500557,"MERRICK BLVD/228 ST",,  40.676457, -73.741830,,,0,
500560,"MERRICK BLVD/233 ST",,  40.674860, -73.737081,,,0,
500563,"MERRICK BLVD/243 ST",,  40.673836, -73.730888,,,0,
500564,"MERRICK BLVD/HOOK CREEK BLVD",,  40.674051, -73.727693,,,0,
500565,"HOOK CREEK BLVD/133 DR",,  40.672067, -73.728047,,,0,
500567,"HOOK CREEK BLVD/136 AV",,  40.668545, -73.729233,,,0,
500572,"BROOKVILLE BLVD/137 AV",,  40.669517, -73.736194,,,0,
500575,"BROOKVILLE BLVD/MERRICK BLVD",,  40.673450, -73.733561,,,0,
500578,"MERRICK BLVD/231 ST",,  40.675724, -73.738963,,,0,
500580,"MERRICK BLVD/228 ST",,  40.676915, -73.742531,,,0,
500582,"MERRICK BLVD/224 ST",,  40.678094, -73.745933,,,0,
500584,"MERRICK BLVD/220 ST",,  40.679164, -73.749423,,,0,
500586,"MERRICK BLVD/SPRINGFIELD BLVD",,  40.680182, -73.752725,,,0,
500587,"MERRICK BLVD/RIDGEDALE AV",,  40.680297, -73.753870,,,0,
500589,"MERRICK BLVD/MONTAUK ST",,  40.679618, -73.757335,,,0,
500591,"MERRICK BLVD/FARMERS BLVD",,  40.680083, -73.762089,,,0,
500593,"MERRICK BLVD/SELOVER RD",,  40.681626, -73.765374,,,0,
500636,"BEDELL ST/BAISLEY BLVD",,  40.680236, -73.774436,,,0,
500637,"BEDELL ST/127 AV",,  40.679436, -73.773170,,,0,
500638,"BEDELL ST/130 AV",,  40.677963, -73.770803,,,0,
500639,"BEDELL ST/133 AV",,  40.676275, -73.768083,,,0,
500640,"BEDELL ST/134 RD",,  40.674876, -73.765831,,,0,
500649,"140 AV/180 ST",,  40.671578, -73.763914,,,0,
500652,"140 AV/THURSTON ST",,  40.672485, -73.759124,,,0,
500658,"SOUTH CONDUIT AV/225 ST",,  40.665426, -73.751900,,,0,
500660,"SOUTH CONDUIT AV/231 ST",,  40.665306, -73.744508,,,0,
500661,"SOUTH CONDUIT AV/BROOKVILLE BLVD",,  40.665183, -73.739844,,,0,
500663,"243 ST/SOUTH CONDUIT AV",,  40.665081, -73.735897,,,0,
500664,"243 ST/MEMPHIS AV",,  40.663856, -73.736727,,,0,
500666,"243 ST/WELLER AV",,  40.661324, -73.738673,,,0,
500667,"243 ST/145 AV",,  40.659483, -73.740082,,,0,
500668,"243 ST/HUXLEY ST",,  40.657586, -73.741503,,,0,
500670,"BEDELL ST/134 RD",,  40.675228, -73.766100,,,0,
500671,"BEDELL ST/133 AV",,  40.676492, -73.768129,,,0,
500672,"BEDELL ST/130 AV",,  40.678218, -73.770914,,,0,
500673,"BEDELL ST/127 AV",,  40.679691, -73.773281,,,0,
500674,"BEDELL ST/BAISLEY BLVD",,  40.680421, -73.774454,,,0,
500677,"243 ST/147 AV",,  40.657737, -73.741214,,,0,
500678,"243 ST/144 AV",,  40.660567, -73.739065,,,0,
500681,"243 ST/MEMPHIS AV",,  40.663863, -73.736615,,,0,
500684,"NORTH CONDUIT AV/230 PL",,  40.666501, -73.745136,,,0,
500685,"NORTH CONDUIT AV/225 ST",,  40.666453, -73.752124,,,0,
500687,"SPRINGFIELD BLVD/144 AV",,  40.667131, -73.757121,,,0,
500688,"SPRINGFIELD BLVD/143 AV",,  40.668320, -73.756662,,,0,
500690,"SPRINGFIELD BLVD/141 AV",,  40.671935, -73.756343,,,0,
500691,"140 AV/SOUTHGATE ST",,  40.672589, -73.759033,,,0,
500694,"140 AV/FARMERS BLVD",,  40.671648, -73.764129,,,0,
500851,"ROOSEVELT AV/BOWNE ST",,  40.760883, -73.824577,,,0,
500861,"SANFORD AV/162 ST",,  40.760135, -73.803589,,,0,
500863,"NORTHERN BLVD/168 ST",,  40.758855, -73.798117,,,0,
500866,"NORTHERN BLVD/UTOPIA PKWY",,  40.757693, -73.792527,,,0,
500869,"NORTHERN BLVD/194 ST",,  40.757837, -73.787138,,,0,
500871,"NORTHERN BLVD/FRANCIS LEWIS BLVD",,  40.757671, -73.783657,,,0,
500873,"NORTHERN BLVD/204 ST",,  40.757723, -73.778894,,,0,
500875,"NORTHERN BLVD/CORPORAL KENNEDY ST",,  40.759228, -73.773338,,,0,
500877,"NORTHERN BLVD/BELL BLVD",,  40.760348, -73.768238,,,0,
500879,"NORTHERN BLVD/217 ST",,  40.760953, -73.764371,,,0,
500882,"NORTHERN BLVD/223 ST",,  40.761867, -73.758606,,,0,
500883,"NORTHERN BLVD/ALLEY POND ENVIROMENTAL CENTER",,  40.763122, -73.752764,,,0,
500889,"NORTHERN BLVD/MARATHON PKWY",,  40.768162, -73.737640,,,0,
500890,"NORTHERN BLVD/BROWVALE LN",,  40.769898, -73.735973,,,0,
500891,"LITTLE NECK PKWY/NORTHERN BLVD",,  40.770467, -73.735086,,,0,
500892,"PEMBROKE AV/GLENWOOD ST",,  40.771718, -73.733250,,,0,
500895,"NORTHERN BLVD/LITTLE NECK PKWY",,  40.770448, -73.735794,,,0,
500896,"NORTHERN BLVD/MARATHON PKWY",,  40.768231, -73.737914,,,0,
500899,"NORTHERN BLVD/DOUGLASTON PKWY",,  40.765458, -73.744199,,,0,
500901,"NORTHERN BLVD/232 ST",,  40.764606, -73.746869,,,0,
500902,"NORTHERN BLVD/223 ST",,  40.761993, -73.758902,,,0,
500904,"NORTHERN BLVD/219 ST",,  40.761273, -73.763383,,,0,
500907,"NORTHERN BLVD/BELL BLVD",,  40.760353, -73.769242,,,0,
500909,"NORTHERN BLVD/CORPORAL KENNEDY ST",,  40.759125, -73.774231,,,0,
500911,"NORTHERN BLVD/204 ST",,  40.757709, -73.779736,,,0,
500913,"NORTHERN BLVD/FRANCIS LEWIS BLVD",,  40.757792, -73.783353,,,0,
500915,"NORTHERN BLVD/194 ST",,  40.757943, -73.788013,,,0,
500917,"NORTHERN BLVD/189 ST",,  40.757827, -73.792565,,,0,
